HYG US Equity,
Date,EQY_SH_OUT(Unit: Million)
4/4/2007,0.2
4/9/2007,0.2
4/10/2007,0.2
4/11/2007,0.2
4/12/2007,0.2
4/13/2007,0.2
4/16/2007,0.2
4/17/2007,0.2
4/18/2007,0.2
4/19/2007,0.2
4/20/2007,0.2
4/23/2007,0.2
4/24/2007,0.2
4/25/2007,0.3
4/26/2007,0.3
4/27/2007,0.3
4/30/2007,0.3
5/1/2007,0.4
5/2/2007,0.5
5/3/2007,0.5
5/4/2007,0.5
5/7/2007,0.5
5/8/2007,0.5
5/9/2007,0.5
5/10/2007,0.5
5/11/2007,0.5
5/14/2007,0.5
5/15/2007,0.5
5/16/2007,0.5
5/17/2007,0.5
5/18/2007,0.5
5/21/2007,0.5
5/22/2007,0.7
5/23/2007,0.7
5/24/2007,0.7
5/25/2007,0.7
5/29/2007,0.7
5/30/2007,0.7
5/31/2007,0.7
6/1/2007,0.7
6/4/2007,0.8
6/5/2007,0.8
6/6/2007,0.8
6/7/2007,0.9
6/8/2007,0.9
6/11/2007,0.9
6/12/2007,0.9
6/13/2007,0.9
6/14/2007,0.9
6/15/2007,0.9
6/18/2007,0.9
6/19/2007,0.9
6/20/2007,0.9
6/21/2007,0.9
6/22/2007,0.9
6/25/2007,0.9
6/26/2007,0.9
6/27/2007,0.9
6/28/2007,0.9
6/29/2007,0.9
7/2/2007,0.9
7/3/2007,0.9
7/5/2007,0.9
7/6/2007,0.9
7/9/2007,0.9
7/10/2007,0.9
7/11/2007,0.9
7/12/2007,0.9
7/13/2007,0.9
7/16/2007,0.9
7/17/2007,0.9
7/18/2007,0.9
7/19/2007,0.9
7/20/2007,1.1
7/23/2007,1.1
7/24/2007,1.1
7/25/2007,1.1
7/26/2007,1.1
7/27/2007,1.1
7/30/2007,1.1
7/31/2007,1.1
8/1/2007,1.1
8/2/2007,1.1
8/3/2007,1.1
8/6/2007,1.1
8/7/2007,1.1
8/8/2007,1.1
8/9/2007,1.1
8/10/2007,1.1
8/13/2007,1.1
8/14/2007,1.1
8/15/2007,1.1
8/16/2007,1.1
8/17/2007,1.1
8/20/2007,1.1
8/21/2007,1.1
8/22/2007,1.1
8/23/2007,1.1
8/24/2007,1.1
8/27/2007,1.1
8/28/2007,1.1
8/29/2007,0.9
8/30/2007,0.9
8/31/2007,0.9
9/4/2007,0.9
9/5/2007,0.9
9/6/2007,0.9
9/7/2007,0.9
9/10/2007,0.9
9/11/2007,0.9
9/12/2007,0.9
9/13/2007,0.9
9/14/2007,0.9
9/17/2007,0.9
9/18/2007,0.9
9/19/2007,0.9
9/20/2007,1
9/21/2007,1.1
9/24/2007,1.1
9/25/2007,1.5
9/26/2007,1.5
9/27/2007,1.5
9/28/2007,1.5
10/1/2007,1.5
10/2/2007,1.5
10/3/2007,1.6
10/4/2007,1.6
10/5/2007,1.6
10/8/2007,1.6
10/9/2007,1.6
10/10/2007,1.6
10/11/2007,1.6
10/12/2007,1.6
10/15/2007,1.6
10/16/2007,1.8
10/17/2007,1.9
10/18/2007,1.9
10/19/2007,1.9
10/22/2007,1.9
10/23/2007,1.9
10/24/2007,1.9
10/25/2007,1.9
10/26/2007,1.9
10/29/2007,1.9
10/30/2007,1.9
10/31/2007,2.1
11/1/2007,2.1
11/2/2007,2.1
11/5/2007,2.1
11/6/2007,2.1
11/7/2007,2.1
11/8/2007,2.1
11/9/2007,2.1
11/12/2007,2.1
11/13/2007,2.1
11/14/2007,2.1
11/15/2007,2.1
11/16/2007,2.1
11/19/2007,2.1
11/20/2007,2.1
11/21/2007,2.1
11/23/2007,2.1
11/26/2007,2.1
11/27/2007,2.1
11/28/2007,2.1
11/29/2007,2.1
11/30/2007,2.1
12/3/2007,2.1
12/4/2007,2.1
12/5/2007,2.4
12/6/2007,2.4
12/7/2007,2.4
12/10/2007,2.4
12/11/2007,2.4
12/12/2007,2.4
12/13/2007,2.4
12/14/2007,2.6
12/17/2007,2.6
12/18/2007,2.7
12/19/2007,2.7
12/20/2007,2.8
12/21/2007,2.8
12/24/2007,2.8
12/26/2007,2.8
12/27/2007,3
12/28/2007,3
12/31/2007,3
1/2/2008,3
1/3/2008,3
1/4/2008,3
1/7/2008,3
1/8/2008,2.8
1/9/2008,2.8
1/10/2008,2.8
1/11/2008,2.8
1/14/2008,2.8
1/15/2008,2.8
1/16/2008,2.8
1/17/2008,2.8
1/18/2008,2.8
1/22/2008,2.8
1/23/2008,2.8
1/24/2008,2.8
1/25/2008,2.8
1/28/2008,2.8
1/29/2008,2.8
1/30/2008,3.1
1/31/2008,3.1
2/1/2008,3.1
2/4/2008,3.2
2/5/2008,3.2
2/6/2008,3.2
2/7/2008,3.2
2/8/2008,3.2
2/11/2008,3.3
2/12/2008,3.5
2/13/2008,3.5
2/14/2008,3.6
2/15/2008,3.6
2/19/2008,3.6
2/20/2008,3.6
2/21/2008,3.7
2/22/2008,3.7
2/25/2008,3.7
2/26/2008,3.7
2/27/2008,3.7
2/28/2008,3.7
2/29/2008,3.7
3/3/2008,3.7
3/4/2008,3.7
3/5/2008,4
3/6/2008,4
3/7/2008,4
3/10/2008,4
3/11/2008,4
3/12/2008,4
3/13/2008,4
3/14/2008,4
3/17/2008,4
3/18/2008,4
3/19/2008,4.1
3/20/2008,4.1
3/24/2008,4.1
3/25/2008,4.3
3/26/2008,4.3
3/27/2008,4.4
3/28/2008,4.5
3/31/2008,4.6
4/1/2008,5.6
4/2/2008,5.7
4/3/2008,5.7
4/4/2008,5.9
4/7/2008,6
4/8/2008,6.1
4/9/2008,6.2
4/10/2008,6.2
4/11/2008,6.2
4/14/2008,6.2
4/15/2008,6.3
4/16/2008,6.4
4/17/2008,6.4
4/18/2008,6.4
4/21/2008,6.5
4/22/2008,6.6
4/23/2008,6.6
4/24/2008,6.7
4/25/2008,6.7
4/28/2008,6.7
4/29/2008,7.2
4/30/2008,7.3
5/1/2008,7.5
5/2/2008,7.5
5/5/2008,7.8
5/6/2008,7.8
5/7/2008,7.8
5/8/2008,7.8
5/9/2008,7.8
5/12/2008,7.9
5/13/2008,8.2
5/14/2008,8.2
5/15/2008,8.2
5/16/2008,8.2
5/19/2008,8.2
5/20/2008,8.2
5/21/2008,8.2
5/22/2008,8.3
5/23/2008,8.3
5/27/2008,8.3
5/28/2008,8.2
5/29/2008,8.2
5/30/2008,8.2
6/2/2008,8.2
6/3/2008,8.2
6/4/2008,8.2
6/5/2008,8.2
6/6/2008,8.2
6/9/2008,8.2
6/10/2008,8.3
6/11/2008,8.3
6/12/2008,8.3
6/13/2008,8.3
6/16/2008,8.3
6/17/2008,8.3
6/18/2008,8.3
6/19/2008,8.3
6/20/2008,8.3
6/23/2008,8.3
6/24/2008,8.3
6/25/2008,8.3
6/26/2008,8.3
6/27/2008,8.3
6/30/2008,8.3
7/1/2008,8.5
7/2/2008,8.5
7/3/2008,8.7
7/7/2008,8.7
7/8/2008,8.9
7/9/2008,8.9
7/10/2008,9
7/11/2008,9
7/14/2008,9.2
7/15/2008,9.2
7/16/2008,9.2
7/17/2008,9.2
7/18/2008,9.2
7/21/2008,9.2
7/22/2008,9.2
7/23/2008,9.3
7/24/2008,9.3
7/25/2008,9.5
7/28/2008,9.5
7/29/2008,9.6
7/30/2008,9.7
7/31/2008,9.7
8/1/2008,9.7
8/4/2008,9.8
8/5/2008,9.8
8/6/2008,9.8
8/7/2008,9.9
8/8/2008,9.9
8/11/2008,9.9
8/12/2008,10
8/13/2008,10
8/14/2008,10
8/15/2008,10
8/18/2008,10
8/19/2008,10
8/20/2008,10
8/21/2008,10.3
8/22/2008,10.3
8/25/2008,10.3
8/26/2008,10.3
8/27/2008,10.3
8/28/2008,10.3
8/29/2008,10.3
9/2/2008,10.3
9/3/2008,10.3
9/4/2008,10.3
9/5/2008,10.3
9/8/2008,10.3
9/9/2008,10.3
9/10/2008,10.3
9/11/2008,10.3
9/12/2008,10.3
9/15/2008,10.3
9/16/2008,10.2
9/17/2008,10.1
9/18/2008,10
9/19/2008,9.9
9/22/2008,9.9
9/23/2008,10
9/24/2008,10
9/25/2008,10
9/26/2008,10
9/29/2008,10
9/30/2008,10
10/1/2008,10.3
10/2/2008,10.3
10/3/2008,10.4
10/6/2008,10.3
10/7/2008,10.4
10/8/2008,10.4
10/9/2008,10.4
10/10/2008,10.4
10/13/2008,10.4
10/14/2008,10.7
10/15/2008,10.9
10/16/2008,11.1
10/17/2008,11.1
10/20/2008,11.3
10/21/2008,11.5
10/22/2008,11.7
10/23/2008,11.7
10/24/2008,11.8
10/27/2008,11.9
10/28/2008,11.8
10/29/2008,11.8
10/30/2008,11.8
10/31/2008,11.8
11/3/2008,11.8
11/4/2008,11.8
11/5/2008,12.6
11/6/2008,12.6
11/7/2008,12.8
11/10/2008,12.8
11/11/2008,13
11/12/2008,13
11/13/2008,13.1
11/14/2008,13.1
11/17/2008,13.1
11/18/2008,13.3
11/19/2008,13.3
11/20/2008,13.4
11/21/2008,13.6
11/24/2008,13.7
11/25/2008,13.9
11/26/2008,13.9
11/28/2008,14.2
12/1/2008,14.5
12/2/2008,14.8
12/3/2008,14.9
12/4/2008,15
12/5/2008,15.2
12/8/2008,15.7
12/9/2008,16.1
12/10/2008,16.1
12/11/2008,16.1
12/12/2008,16.8
12/15/2008,17.4
12/16/2008,17.5
12/17/2008,19.9
12/18/2008,20.1
12/19/2008,21.3
12/22/2008,22
12/23/2008,22.1
12/24/2008,23.3
12/26/2008,23.3
12/29/2008,24.8
12/30/2008,24.8
12/31/2008,24.8
1/2/2009,24.8
1/5/2009,25.9
1/6/2009,26
1/7/2009,26
1/8/2009,27.1
1/9/2009,27.3
1/12/2009,27.4
1/13/2009,27.4
1/14/2009,27.4
1/15/2009,28.1
1/16/2009,28.1
1/20/2009,28.6
1/21/2009,29.1
1/22/2009,29.1
1/23/2009,29.1
1/26/2009,29.2
1/27/2009,29.2
1/28/2009,29.4
1/29/2009,30.1
1/30/2009,30.2
2/2/2009,30.2
2/3/2009,30.5
2/4/2009,30.5
2/5/2009,31.2
2/6/2009,31.1
2/9/2009,31.2
2/10/2009,31.2
2/11/2009,31.3
2/12/2009,31.3
2/13/2009,31.3
2/17/2009,31.3
2/18/2009,30.6
2/19/2009,30.6
2/20/2009,30.6
2/23/2009,30.6
2/24/2009,30.7
2/25/2009,30.7
2/26/2009,30.7
2/27/2009,30.5
3/2/2009,30.1
3/3/2009,29.5
3/4/2009,29.7
3/5/2009,29.5
3/6/2009,29.5
3/9/2009,29.5
3/10/2009,29.8
3/11/2009,29.9
3/12/2009,30.2
3/13/2009,30.4
3/16/2009,30.6
3/17/2009,30.6
3/18/2009,30.6
3/19/2009,30.8
3/20/2009,30.9
3/23/2009,31.2
3/24/2009,31.2
3/25/2009,31.2
3/26/2009,31.5
3/27/2009,31.5
3/30/2009,31.4
3/31/2009,32.1
4/1/2009,33
4/2/2009,33.2
4/3/2009,33.7
4/6/2009,33.8
4/7/2009,33.8
4/8/2009,33.9
4/9/2009,34
4/13/2009,35.2
4/14/2009,35.2
4/15/2009,35.2
4/16/2009,36.1
4/17/2009,36.2
4/20/2009,36.2
4/21/2009,36.2
4/22/2009,36.5
4/23/2009,37.1
4/24/2009,37.1
4/27/2009,37.1
4/28/2009,37.3
4/29/2009,38.1
4/30/2009,38.1
5/1/2009,38.1
5/4/2009,38.1
5/5/2009,38.1
5/6/2009,39
5/7/2009,38.9
5/8/2009,38.9
5/11/2009,39
5/12/2009,39
5/13/2009,39
5/14/2009,39
5/15/2009,39
5/18/2009,39.2
5/19/2009,39.2
5/20/2009,39.3
5/21/2009,40
5/22/2009,40.2
5/26/2009,40.5
5/27/2009,40.9
5/28/2009,41
5/29/2009,41
6/1/2009,42.2
6/2/2009,42.2
6/3/2009,42.2
6/4/2009,42.6
6/5/2009,42.6
6/8/2009,42.7
6/9/2009,42.8
6/10/2009,42.9
6/11/2009,42.9
6/12/2009,42.9
6/15/2009,42.9
6/16/2009,42.9
6/17/2009,42.8
6/18/2009,42.8
6/19/2009,42.8
6/22/2009,42.8
6/23/2009,42.9
6/24/2009,43.1
6/25/2009,43.1
6/26/2009,43.3
6/29/2009,43.3
6/30/2009,43.3
7/1/2009,44.2
7/2/2009,44.2
7/6/2009,44.2
7/7/2009,44
7/8/2009,43.4
7/9/2009,43.4
