Date, Open, High, Low, Close, Volume
06/14/16, 83.13, 83.24, 82.77, 82.99, 20578773
06/13/16, 83.50, 83.81, 83.27, 83.27, 17257927
06/10/16, 83.90, 84.02, 83.66, 83.83, 15259866
06/09/16, 84.44, 84.45, 84.14, 84.24, 11188345
06/08/16, 84.36, 84.595, 84.3489, 84.57, 14652755
06/07/16, 83.98, 84.345, 83.93, 84.25, 18423553
06/06/16, 83.78, 83.93, 83.62, 83.88, 16126163
06/03/16, 83.44, 83.56, 83.23, 83.51, 13092988
06/02/16, 83.20, 83.41, 83.11, 83.36, 12118867
06/01/16, 82.99, 83.38, 82.90, 83.34, 16488560
05/31/16, 83.75, 83.87, 83.515, 83.61, 11994106
05/27/16, 83.59, 83.69, 83.53, 83.69, 6225587
05/26/16, 83.94, 83.94, 83.54, 83.55, 12268990
05/25/16, 83.83, 83.92, 83.75, 83.79, 15119571
05/24/16, 83.37, 83.66, 83.31, 83.66, 10838438
05/23/16, 83.12, 83.60, 82.96, 83.16, 10457384
05/20/16, 82.86, 83.16, 82.86, 83.14, 10556746
05/19/16, 82.79, 82.91, 82.59, 82.85, 20290198
05/18/16, 83.10, 83.3276, 82.85, 83.08, 16612512
05/17/16, 83.10, 83.32, 83.01, 83.07, 7489891
05/16/16, 82.93, 83.28, 82.87, 83.24, 12981715
05/13/16, 83.07, 83.18, 82.74, 82.78, 11332413
05/12/16, 83.24, 83.24, 82.96, 83.15, 11312568
05/11/16, 83.08, 83.36, 82.93, 83.02, 20692016
05/10/16, 82.43, 83.10, 82.43, 83.08, 11420694
05/09/16, 82.40, 82.59, 82.275, 82.38, 11622832
05/06/16, 82.23, 82.71, 82.21, 82.53, 16204369
05/05/16, 82.91, 82.92, 82.54, 82.58, 18782129
05/04/16, 82.81, 82.86, 82.61, 82.65, 17645208
05/03/16, 83.20, 83.22, 82.84, 82.96, 18449241
05/02/16, 83.38, 83.53, 83.29, 83.50, 11420708
04/29/16, 83.63, 83.91, 83.35, 83.85, 20284742
04/28/16, 83.83, 84.035, 83.65, 83.71, 9229024
04/27/16, 83.44, 83.91, 83.41, 83.85, 10505369
04/26/16, 83.29, 83.37, 83.16, 83.36, 8291020
04/25/16, 83.25, 83.37, 83.05, 83.08, 8972889
04/22/16, 83.28, 83.45, 83.21, 83.40, 10982264
04/21/16, 83.57, 83.595, 83.17, 83.21, 13349484
04/20/16, 83.38, 83.70, 83.22, 83.47, 10128763
04/19/16, 83.15, 83.41, 83.08, 83.31, 11623581
04/18/16, 82.16, 82.97, 82.13, 82.96, 9211399
04/15/16, 82.47, 82.57, 82.3956, 82.49, 7857268
04/14/16, 82.66, 82.725, 82.50, 82.62, 10758444
04/13/16, 82.31, 82.815, 82.31, 82.65, 13596100
04/12/16, 81.77, 82.14, 81.715, 82.11, 11772795
04/11/16, 81.65, 81.86, 81.62, 81.63, 8126910
04/08/16, 81.58, 81.6411, 81.42, 81.52, 7952966
04/07/16, 81.22, 81.4125, 81.06, 81.15, 11306075
04/06/16, 81.01, 81.62, 80.98, 81.55, 13935012
04/05/16, 80.82, 81.07, 80.78, 80.87, 13254530
04/04/16, 81.26, 81.512, 81.08, 81.17, 9269657
04/01/16, 80.98, 81.51, 80.80, 81.37, 10822422
03/31/16, 81.49, 81.90, 81.48, 81.69, 9436744
03/30/16, 81.44, 81.7099, 81.39, 81.58, 11796368
03/29/16, 80.74, 81.32, 80.68, 81.29, 11348447
03/28/16, 81.26, 81.43, 80.94, 80.98, 11298887
03/24/16, 81.12, 81.49, 81.08, 81.35, 13497803
03/23/16, 82.07, 82.07, 81.68, 81.71, 11354241
03/22/16, 82.14, 82.25, 81.98, 82.09, 8941231
03/21/16, 82.39, 82.46, 82.135, 82.31, 12653601
03/18/16, 82.30, 82.61, 82.275, 82.40, 12921969
03/17/16, 81.88, 82.35, 81.72, 82.21, 18422991
03/16/16, 80.93, 81.985, 80.82, 81.69, 21567092
03/15/16, 81.40, 81.48, 81.115, 81.15, 16442570
03/14/16, 81.88, 82.06, 81.53, 81.91, 12512374
03/11/16, 81.72, 82.26, 81.64, 82.14, 18662714
03/10/16, 81.06, 81.19, 80.55, 81.16, 18167039
03/09/16, 80.55, 80.70, 80.36, 80.60, 7699592
03/08/16, 80.79, 80.85, 80.36, 80.40, 17813654
03/07/16, 80.68, 81.00, 80.665, 80.97, 12656193
03/04/16, 80.78, 81.24, 80.50, 80.87, 18029930
03/03/16, 80.27, 80.87, 79.99, 80.64, 12018420
03/02/16, 80.50, 80.61, 80.22, 80.37, 14987360
03/01/16, 79.83, 81.01, 79.54, 80.92, 24023186
02/29/16, 79.28, 80.13, 79.26, 80.08, 23746770
02/26/16, 78.95, 79.295, 78.86, 79.23, 12060219
02/25/16, 78.33, 78.73, 78.06, 78.70, 10699091
02/24/16, 77.56, 78.37, 77.46, 78.28, 13622070
02/23/16, 78.06, 78.28, 77.74, 78.15, 16809651
02/22/16, 78.04, 78.35, 77.95, 78.31, 13826611
02/19/16, 77.15, 77.68, 77.05, 77.64, 12879948
02/18/16, 77.70, 77.75, 77.44, 77.49, 13247346
02/17/16, 77.18, 77.59, 77.11, 77.42, 16353016
02/16/16, 76.81, 77.03, 76.695, 76.79, 14105960
02/12/16, 75.86, 76.79, 75.77, 76.72, 17751465
02/11/16, 75.35, 75.87, 75.09, 75.59, 22158243
02/10/16, 76.41, 76.73, 75.95, 76.10, 13085986
02/09/16, 76.09, 76.555, 75.87, 76.21, 18684977
02/08/16, 76.77, 76.80, 76.28, 76.50, 15649914
02/05/16, 77.99, 77.99, 77.28, 77.41, 14632304
02/04/16, 78.22, 78.39, 77.93, 78.00, 8989918
02/03/16, 78.11, 78.40, 77.63, 78.25, 15465174
02/02/16, 78.05, 78.22, 77.83, 77.87, 15442249
02/01/16, 78.76, 78.79, 78.31, 78.43, 8865485
